Ja'Wuan James,OT,5,5,NFL
Justin Hunter,WR,4,24,NFL
Tyler Bray,PRO,4,28,UDFA
Jacques Smith,WDE,4,39,UDFA
James Stone,OG,4,45,UDFA
Rajion Neal,RB,4,43,UDFA
Antonio Richardson,OT,4,35,UDFA
A.J.  Johnson,WDE,4,46,UDFA
Cordarrelle Patterson,WR,4,12,NFL
Jason Croom,WR,4,26,NFL
Joshua Dobbs,PRO,4,37,NFL
Jalen Reeves-Maybin,OLB,4,41,NFL
Josh Malone,WR,4,39,NFL
Evan Berry,ATH,4,31,UDFA
Kahlil McKenzie,DT,5,31,NFL
Kyle Phillips,SDE,5,33,UDFA
Alvin Kamara,RB,4,24,NFL
Shy Tuttle,DT,4,35,UDFA
Quart'e Sapp,OLB,4,20,UDFA
Micah Abernathy,CB,4,37,UDFA
Justin Martin,CB,4,24,UDFA
