Nu'keese Richardson,WR,4,9,DISMISSED
Janzen Jackson,S,4,23,DISMISSED
Darren Myles,S,4,7,DISMISSED
David Oku,RB,4,26,TRANSFER
Jerod Askew,ILB,4,2,TRANSFER
Eric Gordon,CB,4,31,QUIT
Da'Rick Rogers,WR,5,22,DISMISSED
Matt Milton,WR,4,6,TRANSFER
Eddrick Loften,S,4,0,DNQ
Ted Meline,WR,4,0,TRANSFER
John Brown,DT,4,0,DNQ
DeAnthony Arnett,WR,4,12,TRANSFER
Cameron Clear,OT,4,12,QUIT
Omari Phillips,DT,4,1,QUIT
Danny O'Brien,DT,4,31,DISMISSED
Drae Bowles,WR,4,2,TRANSFER
Davante Bourque,APB,4,0,TRANSFER
Nathan Peterman,PRO,4,9,TRANSFER
Trent Taylor,DSE,4,1,TRANSFER
Jason Carr,SDE,4,1,TRANSFER
Jalen Hurd,ATH,4,33,TRANSFER
Dewayne Hendrix,SDE,4,7,TRANSFER
Derrell Scott,APB,4,2,TRANSFER
D'Andre Payne,CB,4,3,TRANSFER
Gavin Bryant,ILB,4,6,TRANSFER
Charles Mosley,DT,4,16,DISMISSED
Preston Williams,WR,4,7,TRANSFER
Drew Richmond,OT,4,28,TRANSFER
Darrin Kirkland Jr.,ILB,4,33,QUIT
Sheriron Jones,DUAL,4,1,TRANSFER
Andrew Butcher,SDE,4,0,QUIT
Quinten Dormady,PRO,4,13,TRANSFER
Marquill Osborne,CB,4,15,TRANSFER
